,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
344,PALISADE WATERLOO HOLDINGS PTY LTD,Waterloo Wind Farm,SA,1103275,306465,Wind,2017-2018,-34.00106030000001,138.9110041,True
346,PELICAN POINT POWER LIMITED,Pelican Point Power Station,SA,9836716,2732421,Gas,2017-2018,-34.7647018,138.5051574,False
348,PERTH ENERGY PTY LTD,Kwinana Swift Power Station,WA,469390,130386,Gas,2017-2018,-32.2320792,115.7787256,False
350,PILBARA IRON PTY LTD,Cape Lambert Power Station,WA,561172,155881,Gas,2017-2018,-20.5833333,117.1666667,False
351,PILBARA IRON PTY LTD,Paraburdoo Power Station,WA,1889622,524895,Gas,2017-2018,-23.2007259,117.6714611,False
352,PILBARA IRON PTY LTD,West Angelas Power Station,WA,1645593,457109,Gas,2017-2018,-23.1777653,118.7617779,False
353,PILBARA IRON PTY LTD,Yurralyi Maya Power Station,WA,2150682,597412,Gas,2017-2018,-20.7637215,116.7427853,False
355,PIONEER SAIL HOLDINGS PTY LIMITED,Bairnsdale Power Station,VIC,938097,260583,Gas,2017-2018,-37.8428384,147.563966,False
356,PIONEER SAIL HOLDINGS PTY LIMITED,Braemar Power Station,QLD,1527900,424417,Coal Seam Methane,2017-2018,-27.1107842,150.9054673,False
357,PIONEER SAIL HOLDINGS PTY LIMITED,Loy Yang B Power Station,VIC,31933714,8870476,Brown Coal,2017-2018,-38.2567843,146.5860271,False
358,PIONEER SAIL HOLDINGS PTY LIMITED,Newman Power Station,WA,879617,244338,Gas,2017-2018,-23.3574915,119.7303373,False
359,PIONEER SAIL HOLDINGS PTY LIMITED,Port Hedland Power Station,WA,1868227,518952,Gas,2017-2018,-20.4280016,118.5502998,False
360,PIONEER SAIL HOLDINGS PTY LIMITED,Wagerup Power Station,WA,1193965,331657,Gas,2017-2018,-32.9160782,115.918999,False
362,POWER AND WATER CORPORATION,Alpurrurulam (Lake Nash),NT,5764,1601,Diesel,2017-2018,-20.9841916,137.847666,False
363,POWER AND WATER CORPORATION,Amanbidgi (Kildurk),NT,932,259,Diesel,2017-2018,-16.1847598,129.6406866,False
364,POWER AND WATER CORPORATION,Ampilatwatja (Alparra Ammaroo),NT,13015,3615,Diesel,2017-2018,-21.752029,135.236099,False
365,POWER AND WATER CORPORATION,Amunturangu (Mount Liebig),NT,2939,816,Diesel,2017-2018,-23.2659591,131.2722316,False
366,POWER AND WATER CORPORATION,Aputula (Finke),NT,3489,969,Diesel,2017-2018,-25.5821522,134.5779806,False
367,POWER AND WATER CORPORATION,Areyonga (Utju),NT,3889,1080,Diesel,2017-2018,-24.0734645,132.2693601,False
368,POWER AND WATER CORPORATION,Atitjere (Harts Range),NT,3425,951,Diesel,2017-2018,-22.9856011,134.9351115,False
369,POWER AND WATER CORPORATION,Borroloola Generation,NT,22877,6355,Diesel,2017-2018,-16.070278,136.307222,False
370,POWER AND WATER CORPORATION,Bulla Camp,NT,1506,418,Diesel,2017-2018,-15.768853,130.039341,False
371,POWER AND WATER CORPORATION,Bulman,NT,4267,1185,Diesel,2017-2018,-13.663028,134.3317308,False
372,POWER AND WATER CORPORATION,Daly Waters Generation,NT,4120,1144,Diesel,2017-2018,-16.253333,133.369167,False
374,POWER AND WATER CORPORATION,Engawala (Alcoota),NT,1949,541,Diesel,2017-2018,-22.8036906,134.4554661,False
375,POWER AND WATER CORPORATION,Epenarra (Wutunugurra),NT,2731,759,Diesel,2017-2018,-20.4626041,135.2512773,False
376,POWER AND WATER CORPORATION,Eva Valley,NT,1318,366,Diesel,2017-2018,-13.1298444,131.0142497,False
377,POWER AND WATER CORPORATION,Galiwinku (Elcho Island),NT,25193,6998,Diesel,2017-2018,-12.0230106,135.5657089,False
378,POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),NT,10934,3037,Diesel,2017-2018,-12.4993009,135.8062133,False
379,POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),NT,18396,5110,Diesel,2017-2018,-12.32825,133.056,False
